Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Page Quantity (product.metafields.custom.page_quantity),Page size (product.metafields.custom.page_size),page weight (product.metafields.custom.page_weight),Color (product.metafields.shopify.color-pattern),Page size (product.metafields.shopify.page-size),Paper type (product.metafields.shopify.paper-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
מארז-תכנון-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0231_2f6a9083-f2d3-4249-a41e-6f1774fb09fa.jpg?v=1771313966,7,"",,,,,,,,,,,,,,
מארז-פודרה-1,מארז פודרה,"<p><strong>פיתרון שלם בפינת העבודה</strong></p>
<p>לוח שבועי |מחברת בינונית |בלוק בינוני</p>",MothersDay,Uncategorized,"","",false,Title,Default Title,,,,,,,,,0.0,shopify,199,deny,manual,50.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0276-Edit_82bccc41-9495-471b-afe9-f37ef099057e.jpg?v=1770564062,1,"",false,,,,,,,,,,kg,,,draft
מארז-פודרה-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/2_860c28c0-aa00-4ce3-b711-7f64d677c637.png?v=1770720280,2,"",,,,,,,,,,,,,,
מארז-פודרה-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/1_946b9b8f-e5d8-4026-95e3-67a99198ecc5.png?v=1770735249,3,"",,,,,,,,,,,,,,
מארז-פודרה-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/3_c7872c18-04a7-4cc4-9ce8-46ecc7183ac5.png?v=1770735566,4,"",,,,,,,,,,,,,,
מארז-פודרה-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0231_2f6a9083-f2d3-4249-a41e-6f1774fb09fa.jpg?v=1771313966,5,"",,,,,,,,,,,,,,
מארז-פודרה-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0232-Edit.jpg?v=1771313562,6,"",,,,,,,,,,,,,,
מארז-פודרה-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0217-Edit-2_8824c653-af2b-426c-b739-1971ef7b70d7.jpg?v=1771313640,7,"",,,,,,,,,,,,,,
מארז-יין-1,מארז אבן,"<p><strong>פיתרון שלם בתיק</strong></p>
<p>ֿתכנון קניות וסידורים | מחברת קטנה | בלוק קטן</p>",MothersDay,Uncategorized,"","",false,Title,Default Title,,,,,,,,,0.0,shopify,199,deny,manual,180.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/1.1.png?v=1770738258,1,"",false,,,,,,,,,,kg,,,draft
מארז-יין-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/f6eb517d7b5513838f5a514be9778cd0.png?v=1770738258,2,"",,,,,,,,,,,,,,
מארז-יין-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/1_4c4525a8-3a8e-4c18-86a0-8f863fba239e.png?v=1770738258,3,"",,,,,,,,,,,,,,
מארז-יין-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/3_d2862523-23ee-4aba-99c6-1496e1f1cff9.png?v=1770738258,4,"",,,,,,,,,,,,,,
מארז-יין-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0231_2f6a9083-f2d3-4249-a41e-6f1774fb09fa.jpg?v=1771313966,5,"",,,,,,,,,,,,,,
מארז-יין-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0232-Edit.jpg?v=1771313562,6,"",,,,,,,,,,,,,,
מארז-יין-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0214-Edit-3_5ce933fb-ef1a-41bd-8782-4348946fd945.jpg?v=1771313562,7,"",,,,,,,,,,,,,,
מארז-אבן-1,מארז יין,"<p><strong>פיתרון שלם במטבח</strong></p>
<p>תכנון ארוחות |בלוק גדול</p>",MothersDay,Uncategorized,"","",false,Title,Default Title,,,,,,,,,0.0,shopify,199,deny,manual,107.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/2_c9ec1959-3e7a-49de-865e-aa159b3c86d9.png?v=1770720351,1,"",false,,,,,,,,,,kg,,,draft
מארז-אבן-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/1_b3090ad2-1d12-4f29-af8c-224a3fb3ecd7.png?v=1770720359,2,"",,,,,,,,,,,,,,
מארז-אבן-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/1_89e4d16a-694a-4d81-b1d0-e9ec4064e278.png?v=1770735386,3,"",,,,,,,,,,,,,,
מארז-אבן-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/3_45f88787-4ed3-4e58-bc20-05cfc7bf916e.png?v=1770735557,4,"",,,,,,,,,,,,,,
מארז-אבן-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0223-Edit_60eacef0-4dba-46af-a35d-6b712eb5e435.jpg?v=1771313966,5,"",,,,,,,,,,,,,,
מארז-אבן-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0218-Edit-2_1493d0ed-54b6-43b9-9de3-2e13d07ef0a0.jpg?v=1771313896,6,"",,,,,,,,,,,,,,
מארז-בלוקים-1,מארז בלוקים,"<p><strong>שלושה גדלים. לכל משימה</strong></p>
<p><meta charset=""utf-8"">בלוק קטן |בלוק בינוני |בלוק גדול</p>",MothersDay,Uncategorized,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0798/7838/9996/files/0S2A0219-Edit_7ad4029f-43e7-4cf0-93f1-3c2c85cf94a5.jpg?v=1770563851,1,"",false,,,,,,,,,,kg,,,active
